Unnamed_1,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Levde_når_2,Levde_når_2_link,Når_komponert,Når_komponert_link,Diverse,Diverse_link,Diverse_2,Diverse_2_link,Dublett_,Forlag,Forlag_link,Nr_,Unnamed_13
,En liten gylden ring,https://musescore.com/user/26911315/scores/7014993,"Carlsen, Henry",,1899 - 1955,,Arne Svendsen,https://no.wikipedia.org/wiki/Arne_Svendsen,1884 - 1958,,1936,,,,,,,,,,
,Enn en gang skal fuglene synge,https://musescore.com/user/26911315/scores/14951401,"Carsten, Bert",https://sv.wikipedia.org/wiki/Albert_Carsten_Nordlander,1905 - 1989,,R. T,,,,1944,,Svensk tekst Harry Iseborg,,,,,Presto Forlag,,,
,När bröllopsklockor ringa,https://musescore.com/user/26911315/scores/7236075,"Carsten, Bert",https://sv.wikipedia.org/wiki/Albert_Carsten_Nordlander,1905 - 1989,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1929,,Harald og Sonjas brudevals 1968.,,,,,Norske Noter,,3,
,"Tjohei min vän, nu är jag här igjen!",https://musescore.com/user/26911315/scores/7362314,"Carsten, Bert",https://sv.wikipedia.org/wiki/Albert_Carsten_Nordlander,1905 - 1989,,Folke Edwards,,,,1927,,,,,,,,,,
x,Limelight,https://musescore.com/user/26911315/scores/17240452,"Chaplin, Charlie",https://en.wikipedia.org/wiki/Charlie_Chaplin,1889 - 1977,,,,,,,,,,,,,,,,
,Florence tango,https://musescore.com/user/26911315/scores/7653500,Chocabio,,,,S. S. Wilson (Anita Halldén),https://sv.wikipedia.org/wiki/Anita_Halldén,1878 - 1970,,1928,,,,,,,Ernst Rolf,,1670,
,Telemarksving,,Chris Christensen,,,,,,,,ca 1935,,,,,,,Bartnes forlag,,,
,Midtsommer-Dansen,,Christian Danning,,,,,,,,,,Oppnotert av Christian Danning,,,,4,,,,
,Når det kommer en båt med bananer,https://musescore.com/user/26911315/scores/7045355,"Christiansen, Eric",https://danskefilm.dk/skuespiller.php?id=11359,1910 - 1969,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1945,,Omtale,https://no.wikipedia.org/wiki/Når_det_kommer_en_båt_med_bananer,,,,Musikkhuset A/S,,272,
,Cilleros,https://musescore.com/user/26911315/scores/22252381,"Casadella, Damasco",,,,,,,,1926,,Pseudonym for norsk komponist?,,,,,Musikcentralens Forlag,,152,
,Da Lilleguld kom,https://musescore.com/user/26911315/scores/10691623,"Clasen, Claus Frimann",https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,"Clasen, Claus Frimann",https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,1927,,,,,,,,,,
,Lykkeliten,https://musescore.com/user/26911315/scores/8420369,"Clasen, Claus Frimann",https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,"Clasen, Claus Frimann",https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,1927,,Omtale,https://no.wikipedia.org/wiki/Lykkeliten_(sang),,,,Norsk Musikforlag,,5478,
,Solvals,https://musescore.com/user/26911315/scores/8404049,"Clausen, Elisabeth O(line) Helga (f. Kohler)",,1901 - 1994,,,,,,1928?,,Reklame for Mowinckels Margarinfabrik,,,,,,,,
,Freia,https://musescore.com/user/26911315/scores/7015103,Con Conrad,https://en.wikipedia.org/wiki/Con_Conrad,1891 - 1938,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1921,,Reklame for Freia,,,,,,,,
,Då sänder jag en hälsning,https://musescore.com/user/26911315/scores/7244277,"Dahlquist, Lars-Erik (Lasse)",https://no.wikipedia.org/wiki/Lasse_Dahlquist,1910 - 1979,,"Dahlquist, Lars-Erik (Lasse)",https://no.wikipedia.org/wiki/Lasse_Dahlquist,1910 - 1979,,1930,,,,,,,Svenska Noter,,39,
,Her danser gamlekara,https://musescore.com/user/26911315/scores/7831562,"Dahlquist, Lasse",https://no.wikipedia.org/wiki/Lasse_Dahlquist,1910 - 1979,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1945,,,,,,,Carl M. Iversen,,215,
,"Very welcome hjem, Mr. Swanson",https://musescore.com/user/26911315/scores/7097845,"Dahlquist, Lasse",https://no.wikipedia.org/wiki/Lasse_Dahlquist,1910 - 1979,,Carl Viggo Meincke,https://da.wikipedia.org/wiki/Carl_Viggo_Meincke,1902 - 1959,,1952,,,,,,,Carl M. Iversen,,313,
,Det er min musik!,https://musescore.com/user/26911315/scores/7012005,"Dahlquist, Lasse",https://no.wikipedia.org/wiki/Lasse_Dahlquist,1910 - 1979,,"Dahlquist, Lasse",https://no.wikipedia.org/wiki/Lasse_Dahlquist,1910 - 1979,,1942,,,,,,2,,,,
,Vannliljer,https://musescore.com/user/26911315/scores/7097595,"Danielsen, Ragnar",,1917 - 1976,,Harriet Weidemann Ørn,https://www.nb.no/items/ba53f587472457dfe89a2e00e9663c05?page=1&searchText=%22Harriet%20Weidemann%20Ørn%22,1886 - 1954,,1944,,( f. Harriet Weidemann Strøm),,,,,,,,
,Lago Maggiore,https://musescore.com/user/26911315/scores/7044768,"De Weille, Benny",https://en.wikipedia.org/wiki/Benny_de_Weille,1915 - 1977,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1953,,,,,,,,,,
,Jeg vil sitte på en sky å gynge,https://musescore.com/user/26911315/scores/7034820,"Degerman, Rolf",https://sv.wikipedia.org/wiki/Rolf_Degerman,1909 - 1993,,Erik Diesen,https://no.wikipedia.org/wiki/Erik_Diesen,1922 - 1999,,1952,,,,,,,,,,
,Paa bøljan den blaa,https://musescore.com/user/26911315/scores/7045632,"Dehn, Ørnulf",,1889 - 1918,https://www.nb.no/items/e61bc76739d47e48437fb4a05b90df7e?page=5&searchText=%22Ørnulf%20Dehn%22,"Dehn, Ørnulf",,1889 - 1918,https://www.nb.no/items/e61bc76739d47e48437fb4a05b90df7e?page=5&searchText=%22Ørnulf%20Dehn%22,,,,,,,,Lødsøll & Horntved Musikforlag,,1,
,Dypbrune øyne,https://musescore.com/user/26911315/scores/7848035,"Delmore, Alton",https://en.wikipedia.org/wiki/The_Delmore_Brothers,1908 - 1964,,Claus Frimann Clasen (Lyktemannen),https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,1937,,Norsk utgave fra 1951,,,,,,,,
,Giv mig dit Hjerte Maria,https://musescore.com/user/26911315/scores/10177789,"Deneke, Erik",https://www.discogs.com/artist/1459153-Erik-Deneke,1904 - 1966,,"Deneke, Erik",https://www.discogs.com/artist/1459153-Erik-Deneke,1904 - 1966,,1939,,,,,,,Jac. Boesen,,633,
,I solgangsvind,https://musescore.com/user/26911315/scores/7026091,"Dippner, Bern",,1913 - 1977,,Bern Dippner,,1913 - 1977,,1943,,,,,,,,,,
,Lillemanns vuggesang,https://musescore.com/user/26911315/scores/9982636,"Dippner, Bern",,1913 - 1977,,Bern Dippner,,1913 - 1977,,1943,,,,,,,Norsk Schlagerforlag,,,
,Den gamle spilledåse,https://musescore.com/user/26911315/scores/7005720,"Dippner, Edna",,1921 - 1997,,"Dippner, Bern",,1913 - 1977,,,,,,,,,,,,
,Hem (Å gi meg et sted..),,"Doon, Roy van",,,,,,,,,,,,,,,,,,
,Frihets-lengsler,https://musescore.com/user/26911315/scores/7030495,"Dørumsgård, Arne",https://en.wikipedia.org/wiki/Arne_Dørumsgaard,1921- 2006,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1946,,"Fra filmen ""Vi vil leve'",https://en.wikipedia.org/wiki/Vi_vil_leve,,,,,,,
,Til kongen,https://musescore.com/user/26911315/scores/7631966,"Egge, Klaus",https://no.wikipedia.org/wiki/Klaus_Egge,1906 - 1979,,Arnulf Øverland,https://no.wikipedia.org/wiki/Arnulf_Øverland,1889 - 1968,,1947,,,,,,,Harald Lyche,,,
,Sigøyner-elskov,https://musescore.com/user/26911315/scores/7080536,"Eggen, Johan",,1894 - 1968,https://histreg.no/index.php/person/PFd00112021968M22007A,,,,,1945,,Johan Petter Eggen (f. i Levanger?),,,,,Carl M. Iversen,,180,
,Jamaica,https://musescore.com/user/26911315/scores/7026198,"Eggen, Ottar",,1891 - 1934,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,,,1. premie Oslo Sanger-forbunds konkuranse 1950,,,,,,,,
,Jeg læser det i dine öine!,https://musescore.com/user/26911315/scores/22975714,"Eidsvig, Bjarne",https://www.nb.no/items/963f31966ae9c563048554e7bdb8df35?page=137&searchText=%22bJARNE%20eIDSVIG%22,1899 - 1977,,"Hjorth-Clausen, Christian",https://danskforfatterleksikon.dk/1850bib/HChrHjorthClausen.htm,1864 - 1933,,1922,,Sjelden note!,,,,,Haakon Zapffe,,1257,
,Oslo-sangen,https://musescore.com/user/26911315/scores/9789445,"Ellgen, Einar",http://rogalyd.no/artist/einar-ellgen-1897-1951,1897 - 1951,,Nils Collett Vogt,https://no.wikipedia.org/wiki/Nils_Collett_Vogt,1864 - 1937,,1950,,Stockholmsutstillingen 1930,https://no.wikipedia.org/wiki/Stockholmsutstillingen_1930,,,,Norsk Musikforlag,,7952,
,Det är vår sommarmelodi,https://musescore.com/user/26911315/scores/7276931,"Enders, Georg",https://sv.wikipedia.org/wiki/Georg_Enders,1898 - 1954,,Nils-Georg (Georg Eliasson),https://sv.wikipedia.org/wiki/Georg_Eliasson,1905 - 1973,,1930,,,,,,,Nils-Georgs Musikförlag,,567,
x,Din vår är min  vår,https://musescore.com/user/26911315/scores/7544399,"Enders, Georg",https://sv.wikipedia.org/wiki/Georg_Enders,1898 - 1954,,Nils-Georg (Georg Eliasson),https://sv.wikipedia.org/wiki/Georg_Eliasson,1905 - 1973,,1927,,,,,,,,,,
,To unge hjerter,https://musescore.com/user/26911315/scores/7349096,"Enders, Georg",https://sv.wikipedia.org/wiki/Georg_Enders,1898 - 1954,,"Carlmar, Otto",https://no.wikipedia.org/wiki/Otto_Carlmar,1902 - 1987,,1929,,,,,,3,,,,
,Kort hjertesorg,https://musescore.com/user/26911315/scores/11484268,"Engen, Erik E.",https://www.nb.no/items/2aabc1fdabe6c8dde63fc7c72f4b02a0?page=13&searchText=%22Erik%20Engen%22,1882 - 1953,,,,,,ca 1905,,,,,,,,,,
,Arbeidernes idrettsmarsj,https://musescore.com/user/26911315/scores/7095736,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1936,,,,,,,Norsk Musikforlag,,7108,
,Chevalier-vals,https://musescore.com/user/26911315/scores/7047306,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Astrid Lindberg,,1908 - 1999?,,1931,,A. Lindberg var fra Lillehammer (Gift m. Eiliv  Lunde?),,,,,Norsk Musikforlag,,6860,
,Deksguttens vals,https://musescore.com/user/26911315/scores/7005715,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1942,,,,,,,,,,
,En sommerkveld med bæljespell,,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,,,,,,,,Eget forlag,,,
,Fra barndommens lyse dage,https://musescore.com/user/26911315/scores/7702169,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Hermann Hermani,https://no.wikipedia.org/wiki/Herman_Hermani,1898 - 1960,,,,,,,,,,,,
,Grønlands Reinländer,https://musescore.com/user/26911315/scores/21389524,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,,,,,1932,,,,,,,,,,
,Midtsommervalsen,https://musescore.com/user/26911315/scores/7045044,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Erlas,,,,,,,,,,,Norsk Musikforlag,,6906,
,Når du tenker på dem som er hjemme,https://musescore.com/user/26911315/scores/7045358,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,,,,,,,,Eget forlag,,,
,Prinsesse Astrids vals,https://musescore.com/user/26911315/scores/7057635,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Rolf Hiorth Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1942,,,,,,,Norsk Notestik og forlag,,319,
,Ragnhild,https://musescore.com/user/26911315/scores/7064470,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Rolf Hiorth Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1906,,,,,,,Oluf By,,281,
,Seilervals,https://musescore.com/user/26911315/scores/7080494,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Fridtjof Knutsen,https://no.wikipedia.org/wiki/Fridtjof_Knutsen,1894 - 1961,,1956,,"""En lørdagskveld på Langåra""",,,,,,,,
,Sørlandsminner,https://musescore.com/user/26911315/scores/10601794,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Fridtjof Knutsen,https://no.wikipedia.org/wiki/Fridtjof_Knutsen,1894 - 1961,,1929,,,,,,,Norsk Musikforlag,,6483,
,Valsen til mor,https://musescore.com/user/26911315/scores/7438919,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Ove Gude Furu,,1894 - 1944,,1935,,,,,,,,,,
,Ved den gamle mølle,https://musescore.com/user/26911315/scores/7097635,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1936,,Op. 71,,,,,,,,
,Vi møtes en aften ved stranden,https://musescore.com/user/26911315/scores/7097915,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Einar Kristoffersen,,,,1933,,,,,,,,,,
,Vår på Ekeberg,https://musescore.com/user/26911315/scores/7103025,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Bias Bernhoft,https://no.wikipedia.org/wiki/Bias_Bernhoft,1902 - 1986,,1942,,,,,,,Carl M. Iversen,,403,
,Å så triller vi av sted,https://musescore.com/user/26911315/scores/7103116,"Erichsen, Hans",https://nbl.snl.no/Hans_Erichsen,1890 - 1973,,Hermann Hermani,https://no.wikipedia.org/wiki/Herman_Hermani,1898 - 1960,,1941,,,,,,,,,,
,Et shinglet hjerte,https://musescore.com/user/26911315/scores/22242856,"Ernst, Paul",https://www.nb.no/items/85b5fe61e671b024e66b519b2ae0a778?page=13&searchText=%22Paul%20Ernst%22,1893 - ?,,"Ernst, Paul",https://www.nb.no/items/85b5fe61e671b024e66b519b2ae0a778?page=13&searchText=%22Paul%20Ernst%22,1893 - ?,,1927,,"Dansk, men musikk publisert på norsk mens han var i Norge",,,,,Norsk Notestik og Forlag,,,
,Hjemløs,https://musescore.com/user/26911315/scores/23450479,"Ernst, Paul",https://www.nb.no/items/85b5fe61e671b024e66b519b2ae0a778?page=13&searchText=%22Paul%20Ernst%22,1893 - ?,,"Syrdahl, Gretha",,1900 - 1958,,1926,,"Komponist Dansk, musikk publisert på norsk mens han var i Norge",,,,,Musikcentralens forlag,,206,
,Trekkspill-vals nr. 1,https://musescore.com/user/26911315/scores/11492995,"Evensen, Arne",,,,,,,,,,,,,,,Harald Henschien,,,
,Vi møtes i drømme,https://musescore.com/user/26911315/scores/7097918,Erik Tronrud & Karl Andersen,,,,,,,,1928,,,,,,,,,,
,"Jag kysser eder hand, Madame",https://musescore.com/user/26911315/scores/7483757,"Erwin, Ralph",https://en.wikipedia.org/wiki/Ralph_Erwin,1896 - 1943,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1928,,Omtale,https://en.wikipedia.org/w/index.php?search=I+Kiss+Your+Hand%2C+Madame+%28song%29&title=Special%3ASearch&fulltext=1&ns0=1,,,,,,,
,Allmogevals,https://musescore.com/user/26911315/scores/7605917,"Ewald, A.",,,,,,,,1918,,,,,,,,,,
,Drømmetoner,https://musescore.com/user/26911315/scores/7012069,"Fagelund, Thode",,1902-1944,,Øivind Lunde,,,,1932,,,,,,,,,,
,Den gamle smie,https://musescore.com/user/26911315/scores/15292972,"Fagerlund, Åke
Sandström, Margo",,"1904 - 1972
1910 - 1994",,"Bøyesen, Carl Christian ",https://www.rockipedia.no/artister/carl_christian_boyesen-13501/,1917 - 1999,,1942,,,,,,,Carl Gehrmans Musikförlag,,,
,Där sjön er blå,https://musescore.com/user/26911315/scores/7672769,"Falk, Simon",,,,"Falk, Simon",,,,1944,,,,,,,,,,
,Kongefamiliens velkomstmarsj,https://musescore.com/user/26911315/scores/7038472,"Feyling, Johan",https://www.nb.no/items/76cf67584b5825bf0cbddd514646bc9e?page=3&searchText=%22Johan%20Feyling%22,1881 - 1954,,,,,,1945,,,,,,,,,,
,Nå går'n på Gummisäler,https://musescore.com/user/26911315/scores/7101464,"Flagstad, Lasse",https://nl.wikipedia.org/wiki/Lasse_Flagstad,1903 - 1969,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1928,,Nå går'n på gummisåler,https://no.wikipedia.org/wiki/Nå_går’n_på_gummisåler,,,,Norsk Musikforlag,,6392,
,Det skulde ha vært mig,https://musescore.com/user/26911315/scores/7012018,"Flagstad, Lasse",https://nl.wikipedia.org/wiki/Lasse_Flagstad,1903 - 1969,,Herbert Herding-Herberth & Bias Bernhoft,https://no.wikipedia.org/wiki/Bias_Bernhoft,,,,,,,,,,,,,
,"Jeg gik ind, men vendte om",https://musescore.com/user/26911315/scores/7194822,Floyd du Pont,https://sv.wikipedia.org/wiki/Floyd_Du_Pont,1895 - 1937,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1929,,Floyd du Pont var amerikaner g.m. svenske Sonja Langfeld (1931),,,,,Ernst Rolfs Musikförlag,,,
,Blåveispike,https://musescore.com/user/26911315/scores/7001060,"Foss, Kurt
Bøe, Reidar",,"1925 - 1991
1921 - 1969",,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1951,,,,,,,Oscar Skau,,323,
,De nære ting,https://musescore.com/user/26911315/scores/7005710,"Foss, Kurt
Bøe, Reidar",,"1925 - 1991
1921 - 1969",,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1951,,,,,,,,,,
x,Min røde gitar,https://musescore.com/user/26911315/scores/7045127,"Foss, Kurt
Bøe, Reidar",,"1925 - 1991
1921 - 1969",,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1952,,,,,,,Oscar Skau,,,
,I den blendete by,https://musescore.com/user/26911315/scores/7023911,"Fossmark, Aug.",,,,H. Jensen,,,,,,,,,,,,,,
,The Heather on the Hill,,Frederick Loewe,https://en.wikipedia.org/wiki/Frederick_Loewe,1901 - 1988,,Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner,1918 - 1986,,1944,https://www.nb.no/items/b1d6402d645630ed7c89da7aa0854373?page=77&searchText=%22Til%20Kongen%22%20Øverland,,,,,,,,,
,With a little bit of luck,,Frederick Loewe,https://en.wikipedia.org/wiki/Frederick_Loewe,1901 - 1988,,Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner,1918 - 1986,,1956,,,,,,,,,,
,Valse Amulett,,"Fredriksen, Hilmar",,1914 - 1993,,,,,,,,,,,,,Norsk musikforlag,,7264,
,Når en stjerne står tent,https://musescore.com/user/26911315/scores/7045360,"Fryman-Fritz, Gustaf",,,,"Hagen, Egil",https://no.wikipedia.org/wiki/Egil_Hagen_(1912–2004),1912 - 2004,,1946,,,,,,,Harald Lyche,,,
,Hestehandlarar,,Geir Tveitt,https://no.wikipedia.org/wiki/Geirr_Tveitt,1908 - 1981,,Jacob Sande,https://no.wikipedia.org/wiki/Jakob_Sande,1906 - 1967,,,,,,,,,,,,
,Hestehandlarar (som sunget av Medaas),,Geir Tveitt,https://no.wikipedia.org/wiki/Geirr_Tveitt,1908 - 1981,,Jacob Sande,https://no.wikipedia.org/wiki/Jakob_Sande,1906 - 1967,,,,,,,,,,,,
,Stackars lilla blomma,https://musescore.com/user/26911315/scores/23020417,"Gilbert, Jean",https://en.wikipedia.org/wiki/Jean_Gilbert,1879 - 1942,,?,,,,1916,,,,,,,Ernst Rolf,,59,
,Min Senorita,https://musescore.com/user/26911315/scores/10408924,"Gjessing, Gustav Antonio",,1912 - 1972,,Bob Gunnér (Olgar Sundt Gundersen),,1897 - 1937,,1935,,,,,,,Norsk Notestik & Forlag,,,
,Mitt drømmebillede,https://musescore.com/user/26911315/scores/7045138,"Gjessing, Gustav Antonio",,1912 - 1972,,"Gjessing, Gustav Antonio",,1912 - 1972,,1936,,,,,,3,,,,
,Roses in Bloom,https://musescore.com/user/26911315/scores/20230120,"Gjessing, Gustav Antonio",,1912 - 1972,,"Mackenzie, Laurie",https://www.nb.no/items/825b8023b8e7192576d49e3969a3c30d?page=0&searchText=%22Christian%20schjørn%22%20mackenzie,1902 - 1962,,1935,,,,,,,Bartnes forlag,,5,
,De troløse Øine,https://musescore.com/user/26911315/scores/7005711,"Graage, Ewald",,1898 - ?,,"Graage, Ewald",,1898 - ?,,1930,,,,,,,,,,
,Jeg er jo bare en kvinne,https://musescore.com/user/26911315/scores/7026441,"Gran, Gerhard",,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,,,,,,,,,,,
,Juniorvalsen,https://musescore.com/user/26911315/scores/7034831,"Grande, Helge",,1925 - 2007,,,,,,,,,,,,,,,,
,Hvorfor,https://musescore.com/user/26911315/scores/7023876,"Greiner jr., Willy ",https://no.wikipedia.org/wiki/Willy_Greiner,1919 - 1980,,Petter Magnus,,,,,,,,,,,,,,
,I de lyse Nætter,,"Grimsgaard, Birger",,1886 - 1960,,,,,,1918,,,,,,,Norsk Musikforlag,,4809,
,High-Life-Step,,"Grimsgaard, Birger",,1886 - 1960,,,,,,1918,,Titeltegning: Øivind Sørensen,,,,,,,,
,Vårserenade,,"Grundstrøm, Erik",,,,,,,,,,1 premie komponistkonkurransen (Luvån's) 1945. ,,,,,,,,
,Konstanse,https://musescore.com/user/26911315/scores/7703132,"Gulbrandsen, Hans",,,,Alf Andersen,,,,,,,,,,,"Harald Lyche, Drammen",,,
,Aftenfred,https://musescore.com/user/26911315/scores/21839392,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,Torleif Larssen,,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1933,,,,,,,Norsk Notestik og Forlag,,387,
,Albertine,https://musescore.com/user/26911315/scores/10590730,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,"Rosenlind, Olaf",,1908 - 1990,,1935,,,,,,,Norsk Musikforlag,,6928,
,Bare du,https://musescore.com/user/26911315/scores/22269931,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,F. B.,,,,1935,,,,,,,Norsk Notestik og Forlag,,,
,Carina,https://musescore.com/user/26911315/scores/11725885,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,W. Ross (Asbjørn Guldahl?),,,,1943,,,,,,,Presto forlag,,,
,Carl Anton,https://musescore.com/user/26911315/scores/21351403,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,"Carlsen, Bjørn",,,,1937,,,,,,,Norsk Notestik og Forlag,,1821,
,De ensomme gamle,https://musescore.com/user/26911315/scores/7005708,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,Tola (Torleif Larssen),,1899 - 1967,https://www.nb.no/items/c4f6d78cfc0129ada986940485ae433a?page=11&searchText=%22Torleif%20Larssen%22,1932,,,,,,,,,,
,Det var sangen jeg lærte,https://musescore.com/user/26911315/scores/7012038,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,W. Ross (Asbjørn Guldahl?),,,,1943,,,,,,,,,,
,Ditt smil,https://musescore.com/user/26911315/scores/7044703,"Guldahl, Asbjørn",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=9&searchText=%22Asbjørn%20Guldahl%22,1907 - 1972,,Alf Rød,https://no.wikipedia.org/wiki/Alf_Rød,1894 - 1969,,1936,,Ref. forside,,,,,Norsk Musikforlag,,6938,
